label	1st	2nd	3rd	4th	5th
สปาเกตตี้เบคอนพริกแห้งมะกอก extra	แอปิคอท เค้ก (0.71)	Mocha Peppermint (0.39)	สปาเก็ตตี้ผักขมมะเขือเทศน้ำมันมะกอก (0.35)	ขนมปังอบชีส (0.28)	สปาเก็ตตี้ผัดเห็ดซอสญี่ปุ่น (0.16)
ซูชิดับเบิ้ลหน้ารวม	ข้าวซูชิปลาแซลมอน~ปลาทูน่าสด อาโวคาโด (0.71)	ย่างรวม 5 ไม้ (0.42)	Iced Lemon Honey Soda (0.34)	ข้าวหน้าปลาไหลย่างซีอิ้ว. (0.32)	ยำปลาทูน่าสด. (0.25)
เพสโต้กุ้ง	StrawberryMilkCream (0.57)	สปาเกตตี้ข้าวซอย (0.45)	Extra หอยเชล์ (0.28)	Soup White (0.23)	Extra หมูต้มยำ (0.22)
สปาเก็ตตี้เพสโต้หอยเชล	Extra ไข่กุ้ง (0.24)	Thai Milk Tea Frappe (0.17)	Orange Cake (0.14)	Brooklyn Shake (0.12)	Jasmine Refill (0.12)
Hot Mocha	Hot Peppermint Chocolate (0.68)	Hot Caramel Macchiato (0.65)	Hot Matcha Latte (0.44)	Hot Cappuccino (0.20)	Iced Caramel Macchiato (0.18)
ข้าวซูชิปลาทูน่า อโวคาโด	สลัดปลาแซลมอนสด. (0.62)	ราเมงไก่ทอดโทริคัตสึ. (0.60)	Iced Lemon Honey Soda (0.51)	ไข่เจียวฟูปลาแซลมอน (0.42)	โรลปลาไหลย่างอโวคาโด. (0.30)
ราเมงกุ้งทอดเทมปุระ.	สปาเก็ตตี้คาโบนาร่าซอสพริกศรีราชาไข่ออนเซ็น (0.20)	Iced Strawberry Soda (0.18)	สเต็กหมูพริกไทยดำ (0.17)	Singha Large (0.06)	เฟรนฟรายด์ ทาทาร์มาโย (0.06)
สลัดญี่ปุ่น.	ข้าวซูชิปลาแซลมอนสด. (0.80)	Extraไข่กุ้ง (0.04)	Orange (0.04)	ข้าวหน้าปลาไหลย่างซีอิ้ว. (0.03)	ซูชิแซลมอนสด . (0.03)
Horacha Refill การ้อน	Extraอาโวคาโด (0.62)	Chocolate Peppermint Frappe (0.31)	Thai Milk Tea Frappe (0.22)	บูตะผัดมิโซะซอส (0.10)	I8หนังไก่ย่างเกลือ (0.09)
I6กึ๋นไก่ย่าง	I14ต้นหอมญี่ปุ่นอกไก่ (0.56)	I2เนื้อไก่ย่างวาซาบิ (0.50)	I10ไก่บดทรงเครื่องซอสสไปซี่ (0.46)	ปลาแซลมอนสดดองซีอิ้วญี่ปุ่น (0.45)	Sing Reserve (0.44)
Extra ไข่กุ้ง	peppermint chocolet (0.56)	Banoffee Cale (0.38)	Banoffee Cake (0.29)	แพสชันฟรุ๊ตเย็น (0.25)	สปาเก็ตตี้เพสโต้หอยเชล (0.24)
ข้าวปลาแซลมอนย่าง	i15 สะโพกไก่ (0.34)	i18หมูสามชั้นสไลด์ (0.34)	ยำเห็ดย่าง. (0.34)	มันฝรั่งบด (0.23)	Bread Toast (0.22)
ข้าวหน้าหมูบูตะชาชู.	Sing Reserve (0.25)	ข้าวหน้าปลาไหลย่างซีอิ้ว. (0.21)	โรลแคลิฟอร์เนีย. (0.20)	ไข่เจียวฟูปลาแซลมอน (0.20)	ยำสาหร่ายวากาเมะ. (0.17)
Honey Lemon Frappe	Pure Mangos Teen (0.51)	ชาไทยเย็น (0.43)	ไวท์ (0.27)	คนึงดารา ที (0.25)	เค้กช็อคโกแล็ต (0.24)
Hot Cappuccino	Caramel Macchiato Frappe (0.72)	โทสต์อาโวคาโด (0.37)	Hot Peppermint Chocolate (0.34)	Hot Caramel Macchiato (0.33)	Kiwi & Passion Fruit (0.32)
น้ำมะฮานีเรมอลโชดา	Caramel macchiato (1.00)	สปาเก็ตตี้หอยลายผัดฉ่า (0.97)	Caramel Milk (0.65)	Extra หมูต้มยำ (0.46)	ฮันนี่มิลค์ปั่น (0.24)
Mocha Peppermint	สปาเกตตี้เบคอนพริกแห้งมะกอก extra (0.39)	หมูสามชั้นสไล 2 (0.38)	Banoffee Cale (0.38)	แอปิคอท เค้ก (0.35)	Asahi Large L 3 ขวด (0.33)
Earl gray tea	Toast brcad 2 (0.68)	Bacon (0.68)	Hot Americano (0.49)	อาหารเช้ากริลล์ผักรวมและไข่ข้น (0.32)	Chocolate Frappe (0.21)
หนังปลาแซลมอนทอดกรอบ	Iced Vanilla White Coffee (0.89)	Matcha Espresso (0.73)	ปูอัดทอดกรอบ. (0.64)	ข้าวผัดซอสสไปซี่หมูเกาหลี (0.50)	Hot Latte (0.24)
ทูน่า ซาชิมิ 5 ชิ้น	สเต็กไก่ย่างพริกไทยดำ (0.26)	ซูชิหน้าปลาดิบรวม (0.22)	สปาเก็ตตี้คาโบนาร่าซอสพริกศรีราชาไข่ออนเซ็น (0.20)	สปาเก็ตตี้กุ้งผัดพริกขี้หนูสวน (0.16)	Peach Soda (0.13)
สปาเก็ตตี้เพสโต้กุ้ง	สปาเก็ตตี้คาโบราเมงหมูชาชู (0.41)	สปาเก็ตตี้ไวท์ซอสครีมเห็ดแชมปิยองแฮม (0.33)	ซีซ่าสลัด (0.24)	สลัดไส้กรอกย่าง (0.23)	ข้าวหน้าแซลมอนแฮมเบิร์ก (0.19)
Hot Matcha Latte	Hot Caramel Macchiato (0.73)	Hot Mocha (0.44)	Hot Honey Black Coffee (0.41)	Hot Peppermint Chocolate (0.41)	Lemonade Black Tea (0.22)
กระเพราหมูสับ	hot tea (0.00)	I13ไก่บดทรงเครื่องพริกรายู (0.00)	บูตะผัดมิโซะซอส (0.00)	สปาเก็ตตี้ปูอัดญี่ปุ่นผัดซอสโชยุ (0.00)	โรลปลาไหลย่างอโวคาโด. (0.00)
ข้าวไข่ข้นเบคอล	hot tea (0.00)	I13ไก่บดทรงเครื่องพริกรายู (0.00)	บูตะผัดมิโซะซอส (0.00)	สปาเก็ตตี้ปูอัดญี่ปุ่นผัดซอสโชยุ (0.00)	โรลปลาไหลย่างอโวคาโด. (0.00)
สปาเก็ตตี้หอยเซล์พริกขี้หนูสวน	Orange lced (0.51)	ขนมปังโทสต์ (0.40)	Extra_Parmesan Cheese (0.34)	แพนเค็กมะพร้าว (0.27)	Jasmine Refill (0.26)
Avocado	pannacotta (0.79)	Hot Caramel Milk (0.47)	ซูชิหน้าปลาดิบรวม (0.32)	ข้าวหน้าเนื้อ นิกุด้ง. (0.22)	กุ้งฝอยทอดกรอบ. (0.22)
Hot Thai Milk Tea	Blue Classic Vanilla. (0.70)	ข้าวหน้าเนื้อ นิกุด้ง. (0.26)	Hot Americano (0.21)	Honey Lemon (0.19)	สลัดไก่ย่างฮันนี่มัสตาร์ด (0.16)
Butterfly Pea Honey Lemon Frappe	Orange Espresso (0.50)	สปาเก็ตตี้ภูเขาไฟไข่กุ้ง (0.47)	สปาเก็ตตี้ไก่กรอบคั่วพริกเกลือ (0.42)	StrawberryMilkCream (0.06)	เพสโต้กุ้ง (0.04)
ไวท์	Pure Mangos Teen (0.54)	กีวี่โซดา (0.43)	Soup White (0.40)	Jasmine Refill (0.36)	Cake Chokcolate (0.35)
เพสโต้หอยเซลล์	Chocolate Peppermint Frappe (0.43)	มันฝรั่งบด (0.41)	I1 เนื้อไก่ย่างเกลือ (0.16)	I6กึ๋นไก่ย่าง (0.14)	ไข่เจียวฟูปลาแซลมอน (0.14)
สปาเกตตีเพสโต้กุ้ง	ชามะนาว (0.69)	Honey Lomen Frappe (0.67)	สปาเก็ตตี้เพสโต้ (0.40)	Orange soda (0.36)	Extraกุ้ง (0.26)
สลัดเห็ดย่าง.	Banafee (0.62)	Cold Earl Gray Tea (0.61)	พิเษศ กุ้ง (0.51)	Soju (0.49)	Orange cake (0.38)
กุ้งฝอยทอดกรอบคั่วพริกเกลือ	ข้าวซูชิปลาแซลมอนพ่นไฟ ซอสเมนไต. (0.43)	บรูคลินเชค (0.40)	ออเรนจ์เอสเปรสโซ่เย็น (0.34)	กึ๋นไก่ย่าง (0.32)	ถั่วแขกผัดซอสโชยุ (0.31)
บูตะผัดซอสสไปซี่	เค้กพุดดิ้งกล้วยหอม (0.37)	เลมอนฮันนี่โซดา (0.36)	พานาคอตต้าสตอเบอรี่ (0.33)	I1 เนื้อไก่ย่างเกลือ (0.28)	กุ้งฝอยทอดกรอบ. (0.26)
สลัดไส้กรอกย่าง	สปาเก็ตตี้หอยเชลล์ผัดน้ำมันมะกอก (0.39)	สปาเก็ตตี้เพสโต้กุ้ง (0.23)	สปาเก็ตตี้เพสโต้แซมมอล (0.15)	Iced Kiwi Soda (0.14)	สปาเก็ตตี้คาโบราเมงหมูชาชู (0.14)
Extraเป็นเนื่อ	Extra Beef (0.40)	White Wine (0.38)	honey lemon tart (0.27)	Lemon Soda (0.27)	ราเมงเนื้อสไลด์ออสเตรเลีย. (0.22)
Passion Fruit Espresso	Orange (0.50)	สปาเกตตี้ข้าวซอยแซลมอนย่าง (0.27)	White Wine (0.22)	Iced Strawberry Soda (0.19)	ข้าวแกงกะหรี่ปลาแซลมอนย่าง. (0.16)
ข้าวหน้าเนื้อสไลด์ออสเตรเลียตุ๋นไข่.	โรลแซลมอนพ่นไฟ เมนไตโกะ (0.41)	I9ไก่บดทรงเครื่องเทอริยากิ (0.40)	I18หมูสามชั้นสไลด์ (0.29)	I16หมูสันคอสไลด์ (0.23)	โรลกุ้งเทมปุระ. (0.21)
ปูอัดทอดกรอบ.	Iced Vanilla White Coffee (0.68)	หนังปลาแซลมอนทอดกรอบ (0.64)	Matcha Espresso (0.60)	ข้าวผัดซอสสไปซี่หมูเกาหลี (0.37)	ชารีฟีล (0.36)
ขนมปังโทส	extar shot (0.67)	โทส (0.53)	ขนมปังโทสต์ (0.19)	Chocolate Cake (0.18)	Hot Matcha Latte (0.16)
ข้าวแกงกะหรี่เห็ดโคนญี่ปุ่น.	หมูมะนาว (0.62)	i18 หมู3ชั้นสไลด์ (0.38)	ข้าวหน้าหมูสันคอสันสไลด์ตุ๋นไข่. (0.35)	สปาเก็ตตี้ไวท์ซอสผักโขมแฮม (0.29)	i18 หมูสามชั้นสไลด์ (0.27)
คนึงดารา ที	Pure Mangos Teen (0.44)	Honey Lemon Frappe (0.25)	ไวท์ (0.23)	Chocolate Peppermint Frappe (0.22)	Apricot Cake (0.17)
Bread Toast	มันฝรั่งบด (0.61)	ขนมปังโทสต์ (0.40)	I1 เนื้อไก่ย่างเกลือ (0.24)	Orange lced (0.24)	สปาเก็ตตี้หอยเซล์พริกขี้หนูสวน (0.23)
P Cheese	Calamari (0.41)	สปาเก็ตตี้เพสโต้ (0.25)	Extra (0.22)	Soup White (0.20)	น้ำผึ้งมะนาวร้อน (0.14)
StrawberryMilkCream	เพสโต้กุ้ง (0.57)	Blue Classic Latte (0.22)	Chocolate Banana Smoothie (0.17)	ฮันนี่มิลค์เย็น (0.14)	ข้าวแกงกะหรี่ภูเขาไฟไข่กุ้ง (0.12)
สปาเก็ตตี้แซลมอนสไปซี่	Green Tea Jasmine (0.37)	Pure Mangos Teen (0.24)	Honey Lemon Frappe (0.15)	cake yuzu (0.15)	คนึงดารา ที (0.12)
ใข่กุ้ง	hot tea (0.00)	I13ไก่บดทรงเครื่องพริกรายู (0.00)	บูตะผัดมิโซะซอส (0.00)	สปาเก็ตตี้ปูอัดญี่ปุ่นผัดซอสโชยุ (0.00)	โรลปลาไหลย่างอโวคาโด. (0.00)
ข้าวไข่ข้น	hot tea (0.00)	I13ไก่บดทรงเครื่องพริกรายู (0.00)	บูตะผัดมิโซะซอส (0.00)	สปาเก็ตตี้ปูอัดญี่ปุ่นผัดซอสโชยุ (0.00)	โรลปลาไหลย่างอโวคาโด. (0.00)
สลัดปลาทูน่า แซลมอนรวม	ไข่ปลาแซลมอน (0.74)	ชาร้อนรีฟีล (0.74)	Lemon tea (0.18)	ช็อคโกแลตบานาน่าสมูทตี้ (0.17)	สปาเก็ตตี้ผัดเห็ดซอสญี่ปุ่น (0.16)
Hot latte	ผักโขมอบชีส (0.39)	Matcha latte Frappe (0.13)	ทาร์ตมะม่วงเสาวรส (0.09)	พานาคอตต้ายูซุ (0.08)	มัทฉะรีฟีล (0.06)
